id	title	subtitle	href	section	kind	kicker	displayTag	tags	location	status	order	ghost	span	titleVariant
scifi	Golden Age<br>Science Fiction	"The writers who imagined tomorrows we now partly inhabit - rockets, robots, galaxies, and the anxiety of minds too large for their bodies."	https://bookshelf.cabinetofcuriosities.in/scifi/	author-explorations	section-hub	Section Hub / Anthology	Essays / Overviews / Data	science-fiction;golden-age;authors;anthology;data	internal-html	TRUE	10	G	c7	inst
asimov	Isaac Asimov	"Foundation, Robots, and the Grand Unification - one man's attempt to write all of science fiction."	https://bookshelf.cabinetofcuriosities.in/asimov/	author-explorations	author-page	Author / Sci-Fi	Author Page	science-fiction;author;asimov;foundation;robots	internal-html	TRUE	20	A	c5	
clarke	Arthur C.<br>Clarke	The poet of deep time.		author-explorations	author-page	Author / Sci-Fi	Author Page	science-fiction;author;clarke;deep-time	internal-html	wip	30	C	c4	
christie	Agatha<br>Christie	The geography of murder.		author-explorations	author-page	Author / Crime	Author Page / Map	crime;author;christie;map	internal-md	wip	40	Ch	c4	
more-authors	More<br>Authors	"Heinlein, Dick, Bradbury, Le Guin."		author-explorations	collection	Expanding	Forthcoming	authors;science-fiction;roadmap	internal-md	wip	50	...	c4	
kipling	"Kipling, Kim &amp;<br>The Great Game"	"The Raj, the North-West Frontier, intelligence, identity - and the boy who belonged everywhere and nowhere."		empire-adventure-great-game	author-cluster	Author / Cluster	Essays / Maps / Context	kipling;kim;great-game;empire;maps	internal-md	wip	10	K	c5	
hamzanama	Mapping the<br>Hamzanama	"Adventures of Hamza - the Mughal manuscript that kept a thousand illustrators busy. Tracing the folios, the stories, the migrations of a scattered book."		empire-adventure-great-game	mapping-project	Project / Mapping	Interactive Map / Research	hamzanama;mughal;manuscript;mapping;research	internal-html	wip	20	H	c7	inst
comic-book-history	A Brief History of<br>Comic Books	From pulp origins to the Silver Age - how a disreputable medium became the century's mythology.		comics-sequential-art	history	History / Medium	Essays / Timeline	comics;history;pulp;silver-age;timeline	internal-md	wip	10	CB	c6	
indrajal-comics	Indrajal<br>Comics	"Phantom, Mandrake, Flash Gordon - the Hindustan Times' curious gift to Indian childhood."		comics-sequential-art	catalogue	India / Nostalgia	History / Catalogue	comics;indrajal;india;nostalgia;catalogue	internal-md	wip	20	IJ	c6	
foundation-universe	Foundation<br>Universe	"10,000 years of Galactic history, laid flat."		book-data-visualisation	timeline	Timeline / Dataviz	Interactive	foundation;asimov;timeline;dataviz	internal-html	wip	10		c4	
geography-of-murder	Geography<br>of Murder	Where Poirot and Marple solved their cases.	agatha/	book-data-visualisation	map	Map / Christie	Interactive Map	christie;crime;map;dataviz;geography	internal-md	TRUE	20		c4	
authors-vs-books	Authors<br>vs Books	"Output, genre, influence - the shape of a writing life."		book-data-visualisation	network	Network / Authors	Dataviz	authors;books;network;dataviz;influence	internal-html	wip	30		c4	
